iter	Passed	Remaining
0	118	216101
1	229	209400
2	341	207226
3	448	203870
4	560	203947
5	668	202359
6	779	202291
7	892	202544
8	1009	203535
9	1123	203605
10	1237	203812
11	1346	203282
12	1458	202998
13	1567	202568
14	1678	202332
15	1785	201649
16	1894	201263
17	2007	201285
18	2128	202123
19	2235	201512
20	2349	201569
21	2459	201352
22	2570	201190
23	2680	200900
24	2793	200936
25	2903	200662
26	3012	200404
27	3118	199926
28	3234	200115
29	3338	199542
30	3452	199553
31	3560	199265
32	3662	198667
33	3777	198762
34	3882	198362
35	3988	197985
36	4091	197515
37	4197	197153
38	4299	196671
39	4413	196718
40	4525	196702
41	4641	196805
42	4762	197130
43	4865	196731
44	4976	196607
45	5081	196310
46	5190	196140
47	5297	195904
48	5402	195581
49	5513	195504
50	5619	195264
51	5723	194942
52	5827	194629
53	5929	194233
54	6034	193991
55	6155	194231
56	6258	193904
57	6358	193480
58	6458	193106
59	6564	192896
60	6670	192687
61	6773	192401
62	6876	192114
63	6983	191945
64	7088	191707
65	7200	191697
66	7310	191600
67	7413	191327
68	7520	191161
69	7626	190988
70	7732	190800
71	7836	190579
72	7938	190308
73	8042	190088
74	8155	190082
75	8263	189943
76	8363	189639
77	8468	189464
78	8576	189330
79	8676	189047
80	8780	188829
81	8894	188836
82	8994	188569
83	9098	188366
84	9203	188190
85	9310	188052
86	9416	187887
87	9523	187762
88	9638	187795
89	9744	187632
90	9852	187518
91	9954	187298
92	10058	187114
93	10166	186997
94	10278	186958
95	10385	186836
96	10483	186535
97	10589	186398
98	10706	186445
99	10812	186293
100	10921	186202
101	11031	186125
102	11129	185854
103	11239	185769
104	11338	185526
105	11444	185374
106	11547	185187
107	11648	184966
108	11749	184756
109	11850	184540
110	11954	184375
111	12056	184183
112	12158	183989
113	12261	183817
114	12365	183659
115	12461	183374
116	12569	183279
117	12674	183136
118	12779	182993
119	12886	182878
120	12989	182718
121	13105	182720
122	13207	182543
123	13314	182425
124	13427	182395
125	13527	182198
126	13640	182155
127	13746	182037
128	13848	181852
129	13958	181787
130	14069	181728
131	14171	181545
132	14277	181415
133	14389	181368
134	14598	182533
135	14730	182718
136	14842	182656
137	14944	182477
138	15048	182308
139	15147	182089
140	15243	181839
141	15354	181763
142	15460	181628
143	15558	181413
144	15659	181217
145	15763	181059
146	15862	180852
147	15969	180735
148	16070	180550
149	16181	180480
150	16280	180272
151	16385	180134
152	16484	179931
153	16584	179739
154	16684	179551
155	16787	179391
156	16894	179272
157	16998	179133
158	17109	179062
159	17217	178953
160	17321	178808
161	17429	178701
162	17531	178541
163	17635	178393
164	17736	178228
165	17837	178055
166	17954	178035
167	18064	177956
168	18170	177835
169	18279	177740
170	18388	177648
171	18495	177537
172	18608	177483
173	18715	177365
174	18818	177220
175	18921	177063
176	19031	176981
177	19143	176919
178	19250	176800
179	19361	176730
180	19462	176559
181	19565	176408
182	19664	176225
183	19778	176180
184	19877	175998
185	19985	175896
186	20104	175883
187	20206	175729
188	20303	175536
189	20408	175407
190	20520	175336
191	20632	175267
192	20736	175131
193	20837	174971
194	20943	174850
195	21051	174749
196	21157	174628
197	21257	174462
198	21361	174326
199	21465	174195
200	21575	174104
201	21679	173975
202	21780	173815
203	21892	173743
204	22000	173641
205	22100	173480
206	22204	173345
207	22304	173183
208	22402	173003
209	22519	172973
210	22625	172851
211	22725	172694
212	22830	172568
213	22936	172452
214	23037	172295
215	23139	172153
216	23243	172024
217	23342	171858
218	23442	171694
219	23543	171547
220	23640	171364
221	23742	171225
222	23842	171064
223	23945	170931
224	24047	170788
225	24154	170687
226	24255	170538
227	24359	170408
228	24463	170281
229	24568	170164
230	24668	170009
231	24774	169900
232	24883	169804
233	24988	169687
234	25093	169565
235	25198	169451
236	25303	169329
237	25418	169277
238	25526	169182
239	25639	169114
240	25741	168976
241	25842	168832
242	25942	168682
243	26048	168569
244	26143	168388
245	26251	168287
246	26354	168156
247	26461	168051
248	26567	167938
249	26677	167853
250	26784	167749
251	26886	167614
252	26984	167452
253	27093	167360
254	27206	167295
255	27318	167218
256	27426	167121
257	27533	167015
258	27639	166905
259	27743	166783
260	27843	166633
261	27953	166548
262	28056	166417
263	28167	166338
264	28273	166225
265	28377	166106
266	28481	165982
267	28590	165888
268	28695	165769
269	28796	165634
270	28898	165498
271	29007	165406
272	29118	165322
273	29224	165216
274	29329	165099
275	29431	164963
276	29531	164822
277	29644	164749
278	29751	164647
279	29869	164604
280	29982	164531
281	30092	164439
282	30201	164347
283	30314	164276
284	30423	164181
285	30532	164084
286	30638	163976
287	30745	163868
288	30849	163746
289	30953	163628
290	31064	163541
291	31179	163478
292	31286	163371
293	31399	163298
294	31507	163196
295	31613	163085
296	31738	163072
297	31845	162967
298	31954	162873
299	32067	162796
300	32172	162677
301	32279	162573
302	32390	162488
303	32493	162362
304	32603	162268
305	32713	162177
306	32820	162072
307	32933	161994
308	33039	161880
309	33238	162222
310	33360	162190
311	33463	162063
312	33568	161943
313	33681	161864
314	33785	161740
315	33888	161612
316	33988	161472
317	34098	161378
318	34201	161250
319	34299	161101
320	34399	160959
321	34503	160838
322	34603	160698
323	34713	160601
324	34813	160461
325	34914	160329
326	35020	160217
327	35124	160094
328	35230	159983
329	35362	159990
330	35475	159909
331	35599	159877
332	35710	159786
333	35819	159688
334	35917	159538
335	36029	159452
336	36153	159419
337	36255	159289
338	36355	159147
339	36458	159021
340	36566	158917
341	36672	158808
342	36786	158728
343	36894	158623
344	37031	158643
345	37153	158602
346	37273	158546
347	37382	158443
348	37491	158345
349	37591	158208
350	37697	158092
351	37801	157972
352	37905	157850
353	38014	157750
354	38121	157640
355	38233	157550
356	38335	157421
357	38438	157297
358	38548	157202
359	38647	157058
360	38747	156922
361	38851	156799
362	38954	156677
363	39058	156556
364	39164	156444
365	39274	156347
366	39378	156228
367	39482	156104
368	39591	156007
369	39702	155912
370	39815	155828
371	39922	155717
372	40032	155622
373	40130	155480
374	40235	155363
375	40343	155258
376	40453	155160
377	40560	155054
378	40666	154941
379	40772	154826
380	40893	154773
381	41009	154697
382	41124	154620
383	41243	154556
384	41350	154448
385	41477	154413
386	41583	154300
387	41697	154215
388	41805	154109
389	41921	154036
390	42035	153950
391	42151	153873
392	42269	153806
393	42374	153686
394	42489	153609
395	42600	153513
396	42706	153399
397	42831	153354
398	42934	153228
399	43036	153100
400	43156	153038
401	43268	152945
402	43378	152846
403	43484	152734
404	43594	152633
405	43711	152560
406	43819	152452
407	43935	152375
408	44054	152305
409	44177	152251
410	44296	152181
411	44400	152060
412	44507	151949
413	44625	151878
414	44730	151759
415	44852	151699
416	44961	151597
417	45085	151543
418	45181	151396
419	45302	151331
420	45406	151209
421	45519	151119
422	45635	151039
423	45751	150958
424	45869	150882
425	46053	151026
426	46150	150879
427	46251	150748
428	46360	150645
429	46465	150528
430	46573	150419
431	46691	150342
432	46800	150238
433	46908	150128
434	47022	150040
435	47121	149903
436	47225	149781
437	47328	149656
438	47434	149542
439	47540	149428
440	47637	149284
441	47739	149159
442	47844	149041
443	47945	148913
444	48054	148806
445	48160	148692
446	48267	148583
447	48370	148460
448	48474	148337
449	48579	148220
450	48691	148126
451	48810	148052
452	48920	147950
453	49019	147815
454	49124	147697
455	49229	147579
456	49330	147451
