feature,lgb_shap_mean,xgb_shap_mean,cb_shap_mean,ensemble_shap
EXT_SOURCE_MEAN,0.39196885737620923,0.45793346,0.317584501145285,0.3891622714090457
CREDIT_TERM,0.13425061779541644,0.13863604,0.12896853769931715,0.13395173106735414
CODE_GENDER,0.13020229978147113,0.1323977,0.1379029675247185,0.13350098789401219
POS_CNT_INSTALMENT_FUTURE_mean,0.12616383637586012,0.12604299,0.1070299642194122,0.11974559749062484
GOODS_CREDIT_RATIO,0.10796234741093061,0.10854314,0.12196626441274515,0.1128239181666764
POS_MONTHS_BALANCE_min,0.10099878212798284,0.10192406,0.0873954458034138,0.09677276323553473
NAME_EDUCATION_TYPE,0.09098712421270928,0.092867136,0.09706265571365338,0.09363897197598318
PAYMENT_RATIO_mean,0.09098831194939842,0.08707518,0.08477713741425584,0.08761354355635426
PREV_CNT_PAYMENT_mean,0.07632075153427206,0.08275622,0.08194173753183587,0.08033957012017033
AMT_ANNUITY,0.07041495475530797,0.08781366,0.08109974642651847,0.07977612056142007
POS_MONTHS_BALANCE_mean,0.07939133854535155,0.077781655,0.062287323417890006,0.07315343895253117
AMT_GOODS_PRICE,0.06477892797571706,0.08335583,0.06726515639734644,0.07179997116424859
NAME_FAMILY_STATUS,0.06806110887015,0.068146676,0.06498628850573318,0.06706469106700073
EXT_SOURCE_2_3_PROD,0.06238522333530168,0.060866587,0.066179901403742,0.06314390386767943
FLAG_OWN_CAR,0.06458851124202312,0.066771016,0.05705521362968498,0.0628049134655241
PAYMENT_TO_ANNUITY,0.06344220345009362,0.06550037,0.058831254248947425,0.06259127628572135
EXT_SOURCE_MAX,0.05070931376141175,0.04454269,0.0855068039397298,0.06025293552584401
PREV_AMT_DOWN_PAYMENT_mean,0.05942451652961322,0.06114176,0.05673191383435045,0.05909939650704815
DAYS_ID_PUBLISH,0.063026865870994,0.06025223,0.052916436034952156,0.058731844173456636
EXT_SOURCE_MIN,0.03821271406140009,0.049501814,0.08663330280903443,0.05811594360619632
